2010,Auburn,Tigers,29,,,,,,,,,,,,,
#,Line Plunge,Counter,End Reverse,Draw,Option,Screen,Sprint Out,Boot-leg,Drop Back,QT,QR,B,#,,,
10,-4,14,-2,-2,1,32,INT 10,INT 11,31,15,-4,32,10,,,
11,14,12,17,11,19,B,22,23,35,-10,,37,11,,,
12,F-1,F+ 2,9,-2,1,14,B,18,F+ 20,9,2,38,12,,,
13,OFF10,OFF10,OFF10,OFF10,OFF10,OFF10,OFF10,OFF10,OFF10,-5,18,29,13,,,
14,1,2,-3,3,DEF5,14,17,B,DEF5,2,4,TD,14,,,
15,7,5,DEF15,6,-2,DEF5,DEF5,9,INT 23,12,21,26,15,,,
16,10,-2,10,F+ 1,F+ 2,F+ 3,OFF5,F+ 10,40,9,19,36,16,,,
17,19,17,18,-6,4,INT 0,19,15,28,-12,5,33,17,,,
18,11,11,B,-2,B,21,23,24,29,14,2,50,18,,,
19,12,16,15,-7,B,49,30,33,48,TD,20,TD,19,,,
20,OFF5,11,F+ 1,OFF5,18,OFF5,F+ 10,OFF5,OFF5,5,-1,51,20,,,
21,5,DEF15,,8,DEF15,5,10,PI 15,29,9,2,47,21,,,
22,6,-1,2,4,,11,7,7,INC,F-2,4,25,22,,,
23,4,,3,2,3,8,INC,INC,20,2,1,34,23,,,
24,2,B,1,6,2,4,QR,QR,17,5,5,20,24,,,
25,4,,7,5,SOP,17,INC,QR,INC,,3,33,25,,,
26,5,2,-1,2,-2,INC,10,10,24,6,F+ 5,24,26,,,
27,DEF15,5,DEF5,DEF5,1,7,14,15,15,4,B,31,27,,,
28,6,OFF5,OFF5,-3,OFF5,15,17,INC,26,10,14,35,28,,,
29,13,19,16,-7,B,B,22,20,TD,-10,TD,80,29,,,
30,DEF5,6,2,4,5,DEF5X,PI 10,18,31,-7,16,27,30,,,
31,2,1,5,6,7,13,QR,INC,20,-3,7,29,31,,,
32,,4,-2,4,BLP,INC,QR,QR,INC,-9,,30,32,,,
33,B,8,B,5,-2,QT,QR,QR,INC,-5,9,34,33,,,
34,5,2,4,B,SOP,10,QR,QR,INC,-8,,28,34,,,
35,1,1,,5,BLP,1,QR,QR,QT,-5,1,30,35,,,
36,6,2,3,7,5,INC,QR,QR,QT,-6,11,38,36,,,
37,7,B,1,5,B,7,INC,INC,21,-2,1,22,37,,,
38,4,DEF5,B,DEF5X,,B,17,DEF5,PI 17,-7,6,44,38,,,
39,14,-2,18,11,11,23,22,23,25,-11,5,TD,39,,,
#,Line Plunge,Counter,End Rev,Draw,Option,Screen,Sprint Out,Boot Leg,Drop Back,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#
1,,,,,,,-1,,-1,73,35, 40*,25,38,36,10
2,,,,,,,,-1,-3,72,31, 37*,31,32,32,11
3,,,,,,,,,,52,TD,DEF15,23,23,30,12
4,,-1,,-1,-1,,,,,74,19, 45*,14,TD,16,13
5,0,-1,-3,,,,-4,,,59,31,24,11,9,OFF5,14
1,(-1),-3,,-2,-2,,,,,71,DEF5X,38,4,DEF15,21,15
2,,-1,,-1,,,,,,49,30,45,F+ 4,28,29,16
3,-1,-4,,-5,-3,,,,,62,16, 31*,33,33,33,17
4,,,,,-1,,,,INC,72,37, 44*,41,35,31,18
5,,,-1,,-1,(B),-15,,(TD),64,50,30,71,70,34,19
1,,,-1,,-2,-2,,1,1,OFF5,14,47,16,30,28,20
2,,,-4,,-3,-3,,,2,51,24,43,6,13,28,21
3,,,-1,,-2,,,,,62,15,29,,,36,22
4,-1,,,-1,,-3,,,,65,23, 42*,,26,24,23
5,,-2,-6,,,-2,,,4,58,16, 35*,,,32,24
1,,,,,,,-4,-1,2,57,27, 39*,,,37,25
2,,,3,,1,,-2,,,66,30, 32*,,OFF15,34,26
3,3,2,,1,,,,INC,,54,17, 44*,OFF15,16,DEF5X,27
4,,,1,5,5,,-5,,4,71,29, 41*,19,25,33,28
5,,-19,,,,,INT 14,,5,67,F+ 20, 44*,34,79,NG,29
1,1,,,5,,-1,-2,1,,66,OFF15,27,DEF5X,18,32,30
2,,1,5,1,2,,,,INC,65,26,34,9,,33,31
3,5,1,,,,,-3,,,56,26, 29*,,17,33,32
4,,(B),,1,2,,INC,INT 7,INT 24,67,23,42,,,7,33
5,1,1,2,1,-45,INC,INT 18,QR,INC,67,24, 40*,3,,10,34
1,-3,-1,-5,-1,-2,18,-5,,-6,63,24,30,,,30,35
2,-2,2,3,4,-2,,-3,-9,-8,64,27,38,6,,16,36
3,4,2,1,-3,-1,,,-3,QT,42,24,OFF5,,,35,37
4,-4,3,2,,,12,QR,QR,-4,64,26,31,7,15,13,38
5,-8,-6,,3,,QT,QT,QT,INT 33,68,30,37,33,F+ 8,35,39
